path	chapter	relevance	use_case	action
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_08_feat_pm_significance.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0000_idx26363.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0001_idx26346.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0002_idx22863.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0003_idx2190.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0004_idx14083.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0005_idx26481.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0006_idx824.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0007_idx26599.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0008_idx32998.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0009_idx13376.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0010_idx8752.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0011_idx26500.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0012_idx26096.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0013_idx22979.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0014_idx14444.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0015_idx14496.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0016_idx22978.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0017_idx2658.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0018_idx14806.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0019_idx3573.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0020_idx26525.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0021_idx14856.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0022_idx23048.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0023_idx22560.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0024_idx14798.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0025_idx28092.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0026_idx21922.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0027_idx26610.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0028_idx3642.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0029_idx14468.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0030_idx23002.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0031_idx26583.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0032_idx11205.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0033_idx2713.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0034_idx11611.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0035_idx14835.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0036_idx22993.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0037_idx14818.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0038_idx23051.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0039_idx8735.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0040_idx14026.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0041_idx14298.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0042_idx30260.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0043_idx2511.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0044_idx26572.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0045_idx31456.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0046_idx33099.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0047_idx22264.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0048_idx26528.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0049_idx26311.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0050_idx10707.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0051_idx14726.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0052_idx25110.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0053_idx11164.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0054_idx14914.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0055_idx23193.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0056_idx14832.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0057_idx23218.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0058_idx23129.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0059_idx13388.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0060_idx26575.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0061_idx14741.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0062_idx14232.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0063_idx31334.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0064_idx26548.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0065_idx28066.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0066_idx31176.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0067_idx2152.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0068_idx22576.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0069_idx22980.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0070_idx26165.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0071_idx22712.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0072_idx26524.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0073_idx26422.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0074_idx14682.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0075_idx21957.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0076_idx14035.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0077_idx33043.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0078_idx2418.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0079_idx31054.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0080_idx23250.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0081_idx31156.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0082_idx21575.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0083_idx26601.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0084_idx27950.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0085_idx25497.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0086_idx2063.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0087_idx31555.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0088_idx11615.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0089_idx11509.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0090_idx845.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0091_idx33112.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0092_idx22772.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0093_idx30342.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0094_idx30074.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0095_idx2663.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0096_idx8712.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0097_idx7721.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0098_idx24846.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0099_idx26067.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0100_idx8583.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0101_idx10772.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0102_idx14212.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0103_idx24754.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0104_idx33101.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0105_idx26405.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0106_idx31356.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0107_idx14514.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0108_idx22289.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0109_idx22830.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0110_idx28280.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0111_idx26584.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0112_idx23028.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0113_idx813.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0114_idx2296.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0115_idx26549.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0116_idx10094.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0117_idx8771.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0118_idx26568.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0119_idx14183.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0120_idx8661.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0121_idx14456.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0122_idx2098.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0123_idx23061.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0124_idx3604.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0125_idx25892.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0126_idx33804.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0127_idx24438.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0128_idx26579.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
plots/ml_runs/ml_xgb_8d/outliers_test_pages_png/outlier_test_0129_idx31420.png	Chapter 5 / Appendix	Low	Large galleries; qualitative forensics only	Keep 6-12 pre-defined exemplars
